nacchoid	module	scity	sstate	simplepopsourcecode	popcat3	popcat5	popcat7	popcat8	popcat9	q1	q2	q14b	q14c	q15r	q16	q17a	q17ab	q17b	q17c	q17cd	q17d	q17e	q17f	q17g	q17h	q17i	q17j	q17k	q17l	q17m	q18	q19a	q19b	q19c	q20	q21	govcat	yearstenure	b_module	m1weight2	popcat2old	c1_lhd_name0	LHD_Org	Contact_Category	v008_Profile	FIPS_CY
CO025		Hot Sulphur Springs	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14313	12	2007	"<$500,000"	474239	0	297317	297317	40823	150397	109574	0	0	2845	4350	0	19330	0	0	0		37954	26110	0	1	1	local	5.17					Grand County Public Health and Nursing Service	LHD	1	8049
CO026		Gunnison	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14728	12	2007	"$500,000-$999,999"	503520	0	91450	91450	0	0	0	0	0	0	0	0	6000	0	0	406070	2	18000	15000	0	1	0.5	local	1.92					Gunnison County Public Health	LHD	1	8051
CO013		Lake City	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	789	12	2007	"<$500,000"		0	0	0	164862	219359	54497	0	0	0	73509	0	0	0	0	17188		18217	25285	0	1	0.75	local	3.25					Hinsdale County Public Health	LHD	1	8053
CO028	module 1	Walden	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	1509	1	2008	"<$500,000"	49204																1	0	13238	0			local		1	8.96	"<50,000"	Jackson County Nursing Service	Jackson County Nursing Service	LHD	1	8057
CO029	module 3	Golden	CO	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	534512	12	2007	"$10,000,000+"	12999143	0	5880212	5880212	700000	4588480	3888480	0	406687	0	0	0	623288	1269083	0	0	1	315836	224133	171809	1	4	local	18.67					Jefferson County Department of Health and Environment	LHD	1	8059
CO030		Eads	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	1531	1	2008	"<$500,000"	52269	1489	1489	0	18574	49136	30562	0	0	0	0	0	497	0	0	1147	3				1	1	local	6.17					Kiowa County Public Health Nursing Service	LHD	1	8061
CO031	module 2	Burlington	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	7722	12	2007	"$500,000-$999,999"	600000																2				1	1	local	10.5					Kit Carson County Public Health Nursing Service	LHD	1	8063
CO034	module 3	Ft. Collins	CO	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	288955	12	2007	"$5,000,000-$9,999,999"	8109428	0	2698109	2698109	1936292	3634631	1698339	0	305734	13112	6337	0	481170	371126	0	599209	1	207841	55009	0	1	2.05	local	21.17					Larimer County Department of Health and Environment	LHD	1	8069
CO036		Hugo	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	5794	12	2007	"<$500,000"																	2	19559	14307	0	1		local	1.75					Lincoln County Public Health Nursing Service	LHD	1	8073
CO037	module 3	Grand Junction	CO	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	137377	1	2008	"$5,000,000-$9,999,999"	8223402	0	1700000	1700000	665216	4196941	3531725	0	145484	87484	114064	114870	483650	556762	0	824146	1	706097	37683	0	1	8	local	19.25					Mesa County Health Department	LHD	1	8077
CO038		Creede	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	960	1	2008		85600																2	19000	19000	0	1	0.25	local	1.58					Mineral County Public Health Nursing Service	LHD	1	8079
CO040	module 3	Cortez	CO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	25363	1	2008																		1	28000	16000	0	1	0.5	local	9.92					Montezuma County Health Department	LHD	1	8083
CO045		La Junta	CO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	"multi-county, district, region"	25124	12	2007	"$1,000,000-$4,999,999"	1379982	1500	62433	60933	423193	1105161	681968	0	27897	8625	5755	0	33430	93994	0	42687	2	176910	20099	0	1	2.5	local	8.33					Otero County Department of Health	LHD	1	8089
CO046	module 2	Ouray	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	4556	1	2008	"<$500,000"	139748	4440	23094	18654	18687				0	2000	2068	0	26809	0	0	6940		21373	26446	0	1	0.4	local	14.17					Ouray County Public Health Nursing Service	LHD	1	8091
CO074		Fairplay	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16966	12	2007	"<$500,000"		0	104625	104625	45375	134375	89000	0	0	0	0	0	0	0	0	0	1	22725	11961	0	1	0.5	local	1.08					Park County Public Health Nursing Service	LHD	1	8093
CO049		Lamar	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13965	12	2007	"$1,000,000-$4,999,999"	1237642	0	129451	129451	440606	828756	388150	0	119800	27600	0	6000	55690	0	0	74707	1	92890	15141	0	1	1	local	20.42					Prowers County Public Health Nursing Service	LHD	1	8099
CO050	module 1	Pueblo	CO	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	city/county	154712	12	2007	"$5,000,000-$9,999,999"	6624919	837000	1827448	990448	456899	3281903	2825004	0	22334	0	289458	0	237175	608419	0	358182	1	377018	68703	0	1	5	local	17.42	1	4.47	"50,000+"	Pueblo City-County Health Department	Pueblo City-County Health Department	LHD	1	8101
CO065																																											Rio Blanco County Public Health Nursing Service	LHD	1	8103
CO052		Del Norte	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13065	12	2007	"$500,000-$999,999"	589027	0	77564	77564	256068	454544	198476	0	1317	6909	0	0	48694	0	0	0	1	15027	16928	0	1	1	local	13.92					Rio Grande County Public Health Nursing Service	LHD	1	8105
CO054		Saguache	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	6967	12	2008	"$500,000-$999,999"	750000																3	28000	18000	0	1	0.5	local	3.17					Saguache County Public Health Nursing Service	LHD	1	8109
CO057	module 1	Telluride	CO	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	7391	12	2007	"<$500,000"	270000	25000	56000	31000	35000	71000	36000	36000	0	0	2000	0	105000	0	0	0	3	26000	14000	0	1	0.2	local	1.92	1	8.96	"<50,000"	San Miguel County Public Health Nursing Service	San Miguel County Public Health Nursing Service	LHD	1	8113
CO058	module 1	Frisco	CO	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25715	12	2007	"$1,000,000-$4,999,999"	1149081	0	500802	500802	320566	452966	132400	0	5815	0	9000	0	25403	155095	0	0	2	105341	19154	0	0	0	local	12.5	1	6.66	"<50,000"	Summit County Public Health Nursing Service	Summit County Public Health Nursing Service	LHD	1	8117
CO060	module 3	Divide	CO	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	23017	1	2008		650807	0	0	0	250603	610603	360000	0	0	0	8000	0	27884	0	0	4320	1	21588	44209	0	0		local	8.17					Teller County Public Health Nursing Service	LHD	1	8119
CO064	module 2	Greeley	CO	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	county	249299	12	2007	"$5,000,000-$9,999,999"	7321687	0	2796649	2796649	1575458	3147591	1572133	0	178816	0	16750	20848	267033	353072	0	540928	2	376371	104156	0	1	2.15	local	8.75					Weld County Health Department of Public Health and Environment	LHD	1	8123
DC001	module 1	Washington	DC	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	other	591318	9	2007	"$10,000,000+"	1813033344	623881000	623881024	0	0	0	0	141181580	1020399439	0	735100	0	0	0	0	27497869	1	5637781	860031	830000	1	34	state	0.67	1	3.5	"50,000+"	District of Columbia Department of Health	Government of the District of Columbia Department of Health	LHD	1	11001
FL002	module 2	Gainesville	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	county	244351	6	2008	"$10,000,000+"	16150628	0	1009875	1009875	6799014	8439664	1640650	0	2345370	128143	0	194398	489601	0	0	3543577	1	507847	132647	0	1	2	state	0.75					Alachua County Health Department	LHD	1	12001
FL003		Macclenny	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26351	1	2008	"$1,000,000-$4,999,999"	4000000																1	65000	7000	0	1	1	state	17.67					Baker County Public Health Department	LHD	1	12003
FL004	module 2	Panama City	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	170892	6	2008	"$5,000,000-$9,999,999"	9900000	0	1700000	1700000	4200000	5900000	1700000	0	272000	34000	65000	0	300000	450000	0	1100000	1	166900	32500	0	1	2	state	2.08					Bay County Health Department	LHD	1	12005
FL005	module 2	Starke	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	29254	6	2008	"$1,000,000-$4,999,999"	1747552	0	93244	93244	974213	1135080	160867	0	40670	0	0	0	25294	62665	0	390599	1	0	7500	0	1	0.5	state	3.25					Bradford County Health Department	LHD	1	12007
FL006	module 2	Merritt Island	FL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	557320	6	2008	"$10,000,000+"	21900000	0	467415	467415	7873167	10556584	2683417	0	4408927	131010	50000	332033	1005670	1584513	0	3363848	1	324756	207336	35000	1	6	state	25.5					Brevard County Health Department	LHD	1	12009
FL007	module 1	Ft Lauderdale	FL	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1801370	6	2008	"$10,000,000+"	51793660	0	2466750	2466750	23321965	34173621	10851656	0	2088039	19375	0	44240	478069	3331819	0	9191746	1	455331	507560	439568	1	11	state	0.67	1	3.64	"50,000+"	Broward County Health Department	Broward County Health Department	LHD	1	12011
FL008		Blountstown	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	14276	1	2008	"$1,000,000-$4,999,999"	2250995	0	47600	47600	742823	871419	128596	550678	620812	6294	0	64995	52250	25326	0	11621	1	0	0	0	0		state	2.08					Calhoun County Public Health Department	LHD	1	12013
FL009		Punta Gorda	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	167237	6	2008	"$5,000,000-$9,999,999"	6819447	0	1230816	1230816	2103563	2829787	726224	18123	889676	39671	0	0	378658	1205747	0	226969	1	68047	15000	0	1	1	state	3.17					Charlotte County Health Department	LHD	1	12015
FL010	module 2	Lecanto	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	142431	1	2008	"$10,000,000+"	10000000	0	1190220	1190220	2865790	3648020	782230	0	2626424	81050	0	728130	177298	828946	0	541788	1				1	4	state	0.58					Citrus County Health Department	LHD	1	12017
FL012	module 1	Naples	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	337239	6	2008	"$10,000,000+"	15335064	0	1481000	1481000	4957533	8154288	3196755	0	1406258	644940	1417038	501394	268696	1461450	0	0	1	0	0	0	0		state	8.83	1	3.88	"50,000+"	Collier County Health Department	Collier County Health Department	LHD	1	12021
FL013	module 3	Lake City	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	65939	1	2008	"$1,000,000-$4,999,999"	2913542	0	252247	252247	1612215	1909556	297341	0	67050	364	0	1860	37070	579353	0	66042	1	68759	13356	0	1	1	state	16					Columbia County Public Health Department	LHD	1	12023
FL015	module 1	Arcadia	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	34935	1	2008	"$5,000,000-$9,999,999"	5182234	0	59336	59336	1957018	2553065	596047	0	1313094	17764	0	0	265350	245696	0	727118	1	66633	10459	0	1	2	state	4.17	1	6.66	"<50,000"	DeSoto County Health Department	DeSoto County Health Department	LHD	1	12027
FL016		Cross City	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	15879	1	2008	"$1,000,000-$4,999,999"	2560373	0	27556	27556	892280	1034194	141914	0	906766	41073	0	0	0	0	0	550784	3	7000	15000	0	0		state	19.5					Dixie County Health Department	LHD	1	12029
FL001	module 1	Jacksonville	FL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	city/county	897561	1	2008	"$10,000,000+"	61631380	195190	195190	0	17424372	25912706	8488334	1506892	9545493	71126	0	0	6082024	2055405	0	16262551	4						state	2.33	1	3.5	"50,000+"	Duval County Health Department	Duval County Health Department	LHD	1	12031
FL017	module 2	Pensacola	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	311624	6	2008	"$10,000,000+"	22358160	0	323382	323382	9314885	12495500	3180615	0	3847509	1427	913441	24091	584413	2461505	0	1706893	1	0	0	0	1	6	state	12.58					Escambia County Health Department	LHD	1	12033
FL019	module 3	Apalachicola	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11670	7	2008	"$1,000,000-$4,999,999"	2285780	0	188104	188104	982960	1101645	118685	0	304774	27457	0	50776	76305	127612	0	409107	1	0	6361	0	0		state	4					Franklin County Health Department	LHD	1	12037
FL020		Quincy	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48360	6	2008	"$1,000,000-$4,999,999"	4981223	0	140050	140050	2369131	3284717	915586	0	247388	8700	0	0	78433	268770	0	953165	1	0	15000	0	0		state	0.75					Gadsden County Health Department	LHD	1	12039
FL021		Trenton	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17216	6	2008	"$1,000,000-$4,999,999"	1464591	0	75500	75500	636572	636572	0	91002	0	0	0	0	0	0	0	661517		6500	15000	0	0		state						Gilchrist County Health Department	LHD	1	12041
FL069	module 2	Moore Haven	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	11065	6	2008	"$1,000,000-$4,999,999"	1079677	0	148945	148945	567871	703462	135591	0	100554	12707	0	0	43185	55678	0	15146	1	0	0	0	0	0	state	3					Glades County Health Department	LHD	1	12043
FL022		Port St Joe	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	15817	9	2008	"$1,000,000-$4,999,999"	4350000	0	60000	60000	450000	1290000	840000	612800	864100	420000	8600	764000	168000	12500	0	0	1	6500	3200	0	0		state	11.5					Gulf County Health Department	LHD	1	12045
FL023		Jasper	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14763	6	2008	"$1,000,000-$4,999,999"	1419521	0	78464	78464	985517	1146970	161453	0	82373	17660	0	0	15717	44778	0	33559	1	4025	6282	0	0		state	14.67					Hamilton County Health Department	LHD	1	12047
FL024	module 1	Wauchula	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	28677	6	2008	"$1,000,000-$4,999,999"	4662711	0	323986	323986	2080348	2333390	253042	0	1704027	11820	0	28165	151925	92529	0	16870	2	143036	13600	0	1	1	state	4.75	1	6.66	"<50,000"	Hardee County Health Department	Hardee County Health Department	LHD	1	12049
FL025	module 3	La Belle	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	39613	6	2008	"$5,000,000-$9,999,999"	5523577	0	313971	313971	1938949	2396655	457706	742898	225050	520	0	0	142502	280834	0	1421152	1	101447	14180	0	1	1	state	3					Hendry County Health Department	LHD	1	12051
FL026	module 1	Brooksville	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	165587	6	2008	"$5,000,000-$9,999,999"	8490241																	81068	43163	32340	1	2	state	15.25	1	4.47	"50,000+"	Hernando County Health Department	Hernando County Health Department	LHD	1	12053
FL027	module 1	Sebring	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	100654	6	2008	"$5,000,000-$9,999,999"	8135486	0	300000	300000	3140966	3981919	840953	0	2156756	71331	190000	5199	318923	376321	0	735039	1	138548	16614	0	1	2	state	0.67	1	4.47	"50,000+"	Highlands County Health Department	Highlands County Health Department	LHD	1	12055
FL028	module 3	Tampa	FL	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1202714	6	2007	"$10,000,000+"	44526792	0	261900	261900	15678984	23765254	8086270	1453000	5924229	693127	0	872318	991435	1818385	0	8909341		587952	83000	60055	1	4.3	state	12.33					Hillsborough County Health Department	LHD	1	12057
FL029		Bonifay	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19675	6	2008	"$1,000,000-$4,999,999"	2700000	0	55000	55000			180000	0	523000	30000	0	11000	56000	79000	0	1449000	1	1502	7346	0	0		state	10.92					Holmes County Health Department	LHD	1	12059
FL030	module 3	Vero Beach	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	141440	6	2008	"$5,000,000-$9,999,999"	10127839	0	817458	817458	3161644	4257705	1096061	10000	1707578	109758	0	0	407159	604291	0	2213891	1	234746	71707	0	1	1	state	1.58					Indian River County Health Department	LHD	1	12061
FL031	module 2	Marianna	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	50534	6	2008	"$5,000,000-$9,999,999"	5650465	0	220000	220000	2909045	3945227	1036182	0	795402	52590	277056	42023	44038	214103	0	60026	1	0	26425	0	1	1	state	4.58					Jackson County Health Department	LHD	1	12063
FL032	module 1	Monticello	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14900	6	2008	"$1,000,000-$4,999,999"	2413377	0	481355	481355	965059	1230765	265706	0	619026	5743	0	16279	0	60209	0	0	1	51546	30004	0	1	1	state	6.92	1	8.96	"<50,000"	Jefferson County Health Department	Jefferson County Health Department	LHD	1	12065
FL033		Mayo	FL	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8089	6	2008	"$1,000,000-$4,999,999"	1386009	0	16400	16400	685220	889379	204159	0	335253	588	0	0	103780	0	0	40609	1	0	0	0	0		state	22.08					Lafayette County Health Department	LHD	1	12067
FL036	module 3	Tallahassee	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	268888	6	2008	"$10,000,000+"	11336009	0	415655	415655	4818114	7768058	2949944	0	1717363	24584	747300	0	151000	454049	0	117067	1	778159	70000	0	1	7	state	3.42					Leon County Health Department	LHD	1	12073
FL037		Bronson	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40218	6	2008	"$1,000,000-$4,999,999"	2794342	0	114286	114286	1285639	1470049	184410	0	281886	24553	0	0	52275	233677	0	617676	1	0	10790	0	0		state	10.5					Levy County Health Department	LHD	1	12075
FL039		Madison	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19687	6	2008	"$1,000,000-$4,999,999"	2419937	0	515336	515336	1056793	1162117	105324	0	542168	90	0	51703	76299	72224	0	0	1	0	19825	0	0		state	6.92					Madison County Health Department	LHD	1	12079
FL040	module 2	Bradenton	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	325067	6	2008	"$5,000,000-$9,999,999"	10323049	0	1379315	1379315	5376523	7228460	1851937	0	91894	116168	0	26848	560607	613807	0	305950	1	143611	15000	0	1	2	state	19.5					Manatee County Health Department	LHD	1	12081
FL041	module 3	Ocala	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	328656	6	2008	"$10,000,000+"	17490202	0	2402645	2402645	6776790	8869417	2092627	0	3318688	36301	0	333056	174531	936764	0	1418800	1	233463	64518	0	1	4.5	state	24.5					Marion County Health Department	LHD	1	12083
FL042	module 1	Stuart	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	145777	6	2008	"$5,000,000-$9,999,999"	8288806	0	1517618	1517618	2886378	3721631	835253	30750	1817622	20945	0	0	466410	508747	0	205083	1	50897	36506	0	1	1.5	state	1.42	1	4.47	"50,000+"	Martin County Health Department	Martin County Health Department	LHD	1	12085
FL014	module 2	Miami	FL	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	2474342	6	2008	"$10,000,000+"	71920736	0	1921670	1921670	32498934			0	2760039	16091	0	0	525258	2601420	0	1939961	1	246169	647325	274181	1	18	state	5.58					Miami-Dade County Health Department	LHD	1	12086
FL043		Key West	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	79765	1	2008	"$5,000,000-$9,999,999"	6750000																1	0	0	0	1		state	1.58					Monroe County Health Department	LHD	1	12087
FL044		Fernandina Beach	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	70951	1	2008	"$5,000,000-$9,999,999"	5527099	0	1067978	1067978	1878127	2547823	669696	0	560757	27115	872485	32114	36548	150505	0	231774	1	97853	23333	0	1	2	state	11.92					Nassau County Health Department	LHD	1	12089
FL045	module 3	Ft Walton Beach	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	193913	6	2008	"$5,000,000-$9,999,999"	9906616	0	2038035	2038035	4341138	5641413	1300275	294123	1332263	4276	5000	50225	200277	296971	0	44033	1	114080	52914	0	1	2	state	9					Okaloosa County Health Department	LHD	1	12091
FL046	module 2	Okeechobee	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	39610	6	2008	"$1,000,000-$4,999,999"	3408778	0	211154	211154	1630178				398805	0	0	0	0	310502	0	254982	1	50314	29553	0	1	1	state	0.33					Okeechobee County Health Department	LHD	1	12093
FL047	module 1	Orlando	FL	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1109263	6	2008	"$10,000,000+"	38593440	0	1732830	1732830	14948204	22309214	7361010	1624476	6562019	25450	65702	21459	392041	2576290	0	3283961	1	326178	197550	285178	1	6	state	4.75	1	3.64	"50,000+"	Orange County Health Department	Orange County Health Department	LHD	1	12095
FL049	module 2	West Palm Beach	FL	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1331326	6	2008	"$10,000,000+"	63789408	0	6633243	6633243	23997827	30961788	6963961	7771365	6589370	459032	214478	5550932	530445	4888563	0	190192	1	520858	295763	354363	1	8	state						Palm Beach County Health Department	LHD	1	12099
FL051	module 2	St. Petersburg	FL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	943079	6	2008	"$10,000,000+"	50861736	0	5230079	5230079	20463217	25260033	4796816	3613717	5528941	66180	0	581917	881679	2108728	0	7590460	1	270982	142476	123290	1	7.5	state	2.42					Pinellas County Health Department	LHD	1	12103
FL052	module 3	Bartow	FL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	581653	7	2008	"$10,000,000+"	32113388	0	591000	591000	12625252	17415664	4790412	486480	6450853	55481	0	0	530337	1134093	0	5449481	1	172818	128815	220215	1	6	state	12.42					Polk County Health Department	LHD	1	12105
FL053	module 2	Palatka	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	76969	6	2008	"$1,000,000-$4,999,999"	5136101	0	284156	284156	2364630	3266796	902166	0	282022	24641	0	0	0	257648	0	1020838	1	0	0	0	0	0	state	0.92					Putnam County Health Department	LHD	1	12107
FL054		Milton	FL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	150523	1	2008																		1				1	1	state	0.83					Santa Rosa County Health Department	LHD	1	12113
FL055	module 2	Sarasota	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	391032	6	2008	"$10,000,000+"	26953480	0	1526261	1526261	8246946	9898110	1651164	0	7524991	135158	1708727	2125114	2048306	1284864	0	711950	1	117095	98230	72984	1	3	state	13.92					Sarasota County Health Department	LHD	1	12115
FL056	module 3	Sanford	FL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	425266	1	2008	"$10,000,000+"	12500000	0	1000000	1000000	4200000	6700000	2500000	1000000	2500000	0	0	0	300000	1000000	0	0	1				1		state	4.92					Seminole County Health Department	LHD	1	12117
FL060	module 1	Live Oak	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	39714	6	2008	"$1,000,000-$4,999,999"	2578352	0	123700	123700	1298710	1455597	156887	0	461077	49900	0	0	369131	0	0	118947	1	0	0	0	0		state	22.08	1	6.66	"<50,000"	Suwannee County Health Department	Suwannee County Health Department	LHD	1	12121
FL061	module 2	Perry	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20220	1	2008	"$1,000,000-$4,999,999"	2269000	0	110000	110000	1255000	1441000	186000	69000	318000	19000	0	0	61000	0	0	250000	3				0		state	5.25					Taylor County Health Department	LHD	1	12123
FL062		Lake Butler	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	15282	6	2008	"$1,000,000-$4,999,999"	981186	0	28881	28881	559882	672211	112329	0	39204	0	0	0	10866	47033	0	182990	1	0	6500	0	1	1	state	3.25					Union County Health Department	LHD	1	12125
FL063	module 1	Daytona Beach	FL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	517851	6	2008	"$10,000,000+"	27138356	0	2245999	2245999	8560065	11369706	2809641	0	3343256	195066	0	112625	646547	1410566	0	7814591	4	65289	56256	0	1	3	state	3.5	1	3.5	"50,000+"	Volusia County Department of Health	Volusia County Department of Health	LHD	1	12127
FL064		Crawfordville	FL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	30654	6	2008	"$1,000,000-$4,999,999"	2482637	0	138000	138000	782323	1031625	249302	0	978960	3500	0	0	216913	0	0	113639	1	30786	8071	22715	0		state	0.75					Wakulla County Health Department	LHD	1	12129
FL065		DeFuniak Springs	FL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	55788	6	2008	"$1,000,000-$4,999,999"	3625914	0	837412	837412	1654906	1907042	252136	0	194062	15263	0	29373	80831	83643	0	478288	1	61835	24789	0	1	1	state	0.58					Walton County Health Department	LHD	1	12131
FL066		Chipley	FL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	23209	6	2008	"$1,000,000-$4,999,999"	2828474	0	601037	601037	1411714	1497894	86180	163378	495292	13060	0	21973	35840	0	0	0	1	7606	12150	0	0		state	0.17					Washington County Health Department	LHD	1	12133
GA001		Baxley	GA	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	17928	6	2008	"$500,000-$999,999"	673760	0	102000	102000	293386	319822	26436	0	65428	16727	0	0	41028	0	0	128755	1	0	6600	0	0		local	4.58					Appling County Health Department	LHD	1	13001
