nacchoid,module,lhdname,scity,sstate,simplepopsourcecode,popcat3,popcat5,popcat7,popcat8,popcat9,q1,q2,q14b,q14c,q15,q15r,q16,q17a,q17ab,q17b,q17c,q17cd,q17d,q17e,q17f,q17g,q17h,q17i,q17j,q17k,q17l,q17m,q17text,q18,q19a,q19b,q19c,q20,q21,govcat,yearstenure,State,Contact_Category,v008_Profile,FIPS_CY,Col1,Col2,Locale_State_FIPS_Code,Year,Numeric_Value,PrimaryLast
AR009,module 3,Chicot County Health Unit - Lake Village,Lake Village,AR,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,13022,1,2008,990010,NA,990010,NA,32364,NA,250171,0,NA,0,NA,NA,0,0,0,0,0,0,NA,4,NA,NA,NA,NA,NA,state,7.08,AR,LHD,1,5017,NA,NA,NA,NA,NA,NA
AL011,NA,Chilton County Health Department,Clanton,AL,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",city/county,42696,9,2007,1647605,"$1,000,000-$4,999,999",1730162,0,96983,96983,278984,570834,291850,173070,408426,387733,0,0,4974,69322,0,18819,"Miscellaneous Chilton, Interfund County Admin.",2,26629,16837,9940,1,0.5,state,0.92,AL,LHD,1,1021,NA,NA,NA,NA,NA,NA
WI012,module 1,Chippewa County Department of Public Health,Chippewa Falls,WI,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,61915,12,2007,2026220,"$1,000,000-$4,999,999",2026220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA, Tricare, Family Care (Long Term Care in WI), Dunn County, Dept of AGing",1,35646,24074,0,1,0.65,local,17.67,WI,LHD,1,55017,NA,NA,NA,NA,NA,NA
MI010,module 1,Chippewa County Health Department,Sault Ste Marie,MI,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",city/county,39841,9,2007,7057757,"$5,000,000-$9,999,999",7103983,0,8893,8893,1023371,1742738,719367,0,621978,3360691,0,874157,320101,0,0,191045,"Includes revenue from school contracts, contributions, fund raising refunds and reimbursements.",2,141013,49575,0,1,2,local,0.92,MI,LHD,1,26033,NA,NA,NA,NA,NA,NA
AL012,NA,Choctaw County Health Department,Butler,AL,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",city/county,16265,9,2007,2358574,"$1,000,000-$4,999,999",2579961,0,45000,45000,122763,227420,104657,0,2270240,0,0,0,4593,22040,0,10668,Vtal Statistics Fees,1,32710,17622,0,1,0.5,state,2.75,AL,LHD,1,1023,NA,NA,NA,NA,NA,NA
OK012,module 1,Choctaw County Health Department,Hugo,OK,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,15576,6,2008,848008.05,NA,955726.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13607,0,0,1,0.2,state,14.25,OK,LHD,1,40023,NA,NA,NA,NA,NA,NA
IL010,module 3,Christian County Health Department,Taylorville,IL,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,35283,11,2007,613737,"$500,000-$999,999",636672,0,30000,30000,268947,462793,193846,0,0,0,0,0,0,0,0,143879,"Other funds consisted of service fees of 137,822 (which were not broken out in the audit report) as well as interest income of 6,057",1,48956,0,0,1,0.7,local,10.75,IL,LHD,1,17021,NA,NA,NA,NA,NA,NA
KY008,module 3,Christian County Health Department,Hopkinsville,KY,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",city/county,71880,1,2008,2505772,"$1,000,000-$4,999,999",2903052,0,482775,482775,539874,NA,NA,NA,460224,30000,0,84775,104206,0,0,284629,Interest received on investments.,1,0,0,0,0,NA,local,0.83,KY,LHD,1,21047,NA,NA,NA,NA,NA,NA
MO020,module 2,Christian County Health Department,Ozark,MO,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,72466,12,2007,781831,"$500,000-$999,999",998464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,local,10,MO,LHD,1,29043,NA,NA,NA,NA,NA,NA
FL010,module 2,Citrus County Health Department,Lecanto,FL,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,142431,1,2008,10000000,"$10,000,000+",10000000,0,1190220,1190220,2865790,3648020,782230,0,2626424,81050,0,728130,177298,828946,0,541788,NA,1,NA,NA,NA,1,4,state,0.58,FL,LHD,1,12017,NA,NA,NA,NA,NA,NA
WY004,NA,City of Casper-Natrona County Health Department,Casper,WY,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,70649,1,2008,3000000,"$1,000,000-$4,999,999",3000000,750000,1450000,700000,40000,840000,800000,0,500000,90000,2000,50000,20000,18000,0,30000,Other grants that do not come via State or Federal passthrough,3,200000,100000,36000,1,3,local,11.17,WY,LHD,1,56025,Natrona,County,56,2005,25.6,Duplicate Case
ND003,NA,City-County Health District,Valley City,ND,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,11396,12,2007,833030,"$500,000-$999,999",793389,25000,213759,188759,47615,202201,154586,38093,42888,170678,15535,17113,93121,0,0,0,NA,1,9627,4000,0,1,0.3,local,4,ND,LHD,1,38003,Barnes,County,38,2007,7.8,Duplicate Case
KS013,module 1,City-Cowley County Health Department,Winfield,KS,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",city/county,35590,12,2007,956712.88,"$500,000-$999,999",955813.81,34540,338540,304000,239391,442047,202656,0,47450,31500,2775,5150,79250,10000,0,0,NA,2,39804,17352,0,1,0.6,local,2.75,KS,LHD,1,20035,Cowley,County,20,2005,17.2,Duplicate Case
OR003,module 3,Clackamas County Community Health Division,Oregon City,OR,esri 2007,50000-499999,100000-499999,"250,000-499,999","250,000-499,999","200,000-499,999",county,375391,7,2008,3914166,"$1,000,000-$4,999,999",3914166,11910,737105,725195,727388,2112560,1385172,30026,33863,0,0,0,11491,980021,0,4293,"Salary reimbursements, auction proceeds, overages and shortages, miscellaneous",2,52617,15791,0,1,4,local,3.83,OR,LHD,1,41005,Clackamas,County,41,2007,11.3,Duplicate Case
TN014,module 3,Claiborne County Health Department,Tazewell,TN,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,32860,6,2007,814630,"$500,000-$999,999",814630,0,100728,100728,187173,424857,237684,0,82523,3344,0,2311,30282,0,0,170585,Interdepartmental Revenues are revenues from other departments for services provided,NA,0,0,0,0,NA,state,3.17,TN,SUB027,1,47025,NA,NA,NA,NA,NA,NA
WA006,NA,Clallam County Health and Human Services,Port Angeles,WA,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,70908,12,2007,2981679,"$1,000,000-$4,999,999",2981679,5095,495643,490548,743528,1203392,459864,0,33321,0,0,0,103637,500646,0,645040,"Other includes: use of LHJ fund balance, misc. taxes, various intergovernmental and interfund payments (from other counties and internal funds), etc.",1,48671,22651,0,1,0.3,local,2.83,WA,LHD,1,53009,Clallam,County,53,2005,15.3,Duplicate Case
OH027,NA,Clark County Combined Health District,Springfield,OH,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",city/county,141426,12,2007,5638942,"$5,000,000-$9,999,999",5852868,1928429,1928429,0,297814,2138884,1841070,0,31949,60000,7500,0,230807,636652,0,818986,"Vital statistics fees, Contracts, Miscellaneous income",2,136525,32907,0,1,2,local,8.33,OH,LHD,1,39023,NA,NA,NA,NA,NA,NA
IL062,module 2,Clark County Health Department,Martinsville,IL,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,16848,11,2007,438385,"<$500,000",523174,0,106043,106043,412563,412563,0,0,0,0,0,0,0,0,0,4567,Interest,1,20000,15000,0,1,0.3,local,4.75,IL,LHD,1,17023,NA,NA,NA,NA,NA,NA
IN010,module 3,Clark County Health Department,Jeffersonville,IN,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,106185,1,2007,1558021,"$1,000,000-$4,999,999",2403388,0,972661,972661,100000,1265787,1165787,0,80689,0,0,0,0,84251,0,0,NA,1,65000,100000,0,1,1,local,18.5,IN,LHD,1,18019,Clark,County,18,2007,11.6,Duplicate Case
KS008,module 1,Clark County Health Department,Ashland,KS,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,2335,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know how to answer these questions or where to obtain the exact figures. I can tell you the amount allowed in my budget and the amount left at the end of the year.,1,3960,4766,0,1,1,local,13.58,KS,LHD,1,20025,NA,NA,NA,NA,NA,NA
KY009,module 1,Clark County Health Department,Winchester,KY,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,36015,6,2008,3816298,"$1,000,000-$4,999,999",3816298,0,550000,550000,694125,1455208,761083,0,546000,749726,0,161691,61071,0,0,292500,"Interest, Contracts, Grants",1,0,0,0,0,NA,local,3.17,KY,LHD,1,21049,NA,NA,NA,NA,NA,NA
MO021,NA,Clark County Health Department,Kahoka,MO,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,7418,1,2008,690247,"$500,000-$999,999",776582,0,117081,117081,0,81367,81367,50532,58387,262376,0,20937,0,0,0,185902,"Family Planning Title X $1,500 Grants $184,402",1,10650,13358,0,1,2,local,1.67,MO,LHD,1,29045,NA,NA,NA,NA,NA,NA
WI013,module 3,Clark County Health Department,Neillsville,WI,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,34827,1,2007,639476,"$500,000-$999,999",250188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,13000,0,0,NA,local,5.25,WI,LHD,1,55019,NA,NA,NA,NA,NA,NA
AR010,module 1,Clark County Health Unit,Arkadelphia,AR,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",city/county,23745,1,2008,981622.4,NA,981622.4,NA,31780,NA,196141,0,NA,0,NA,NA,0,0,0,0,0,0,NA,3,NA,NA,NA,0,NA,state,1.92,AR,LHD,1,5019,NA,NA,NA,NA,NA,NA
AL013,module 2,Clarke County Health Department,Grove Hill,AL,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,27255,9,2007,945567,"$500,000-$999,999",898359,0,30000,30000,51407,271181,219774,0,519050,0,0,0,1859,33137,0,43132,Other includes miscellaneous revenue and revenue from vital records.,1,34704,22201,0,1,0.63,state,18.75,AL,LHD,1,1025,NA,NA,NA,NA,NA,NA
OR004,module 3,Clatsop County Health and Human Services Department,Astoria,OR,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,37028,6,2008,1699460,"$1,000,000-$4,999,999",1769473.25,0,518200,518200,156880,606753,449873,0,352862,12223,1063,45620,39278,153414,0,30963,NA,1,100268,27580,0,1,0.8,local,2.25,OR,LHD,1,41007,Clatsop,County,41,2004,18,Duplicate Case
KS009,module 2,Clay County  Health Department,Clay Center,KS,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,8600,12,2007,572410,"$500,000-$999,999",598112,0,77888,77888,32558,63467,30909,0,41304,151541,0,85538,110842,240,0,67292,Contract with Area Agency on Aging to provide in-home services to frail elderly,3,15786,7452,0,1,0.5,local,11.42,KS,LHD,1,20027,NA,NA,NA,NA,NA,NA
AL014,NA,Clay County Health Department,Lineville,AL,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,14700,10,2007,2404552,"$1,000,000-$4,999,999",2364193,0,0,0,251433,377430,125997,0,1557671,771406,0,149862,13304,4630,0,-564381,Transfers to state health department,1,30012,17199,0,1,3,state,8.92,AL,LHD,1,1027,NA,NA,NA,NA,NA,NA
IL011,module 3,Clay County Health Department,Flora,IL,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,14396,6,2007,2940733,"$1,000,000-$4,999,999",2802872,5110,173368,168258,379197,924188,544991,0,88562,1333700,0,52429,194492,0,0,36133,The other section consists of Interest and Donations received.,2,22458,15754,0,1,0.35,local,17.25,IL,LHD,1,17025,NA,NA,NA,NA,NA,NA
NE002,module 3,Clay County Health Department,Clay Center,NE,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,7070,6,2008,136997,"<$500,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unable to separate patient fees from all other income received.,3,0,0,0,0,NA,local,0.92,NE,LHD,1,31035,NA,NA,NA,NA,NA,NA
NC017,module 2,Clay County Health Department,Hayesville,NC,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,10303,6,2008,1751602,"$1,000,000-$4,999,999",1830842,0,628195,628195,226799,285645,58846,0,519367,26916,36000,122864,102973,108882,0,0,NA,2,NA,NA,NA,1,0.5,local,23,NC,LHD,1,37043,NA,NA,NA,NA,NA,NA
TN015,NA,Clay County Health Department,Celina,TN,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,8259,1,2008,NA,NA,308821,0,4729,4729,59028,72550,13522,43902,162299,9476,0,2725,11587,0,0,0,NA,1,NA,NA,NA,0,NA,state,11.42,TN,SUB105,1,47027,NA,NA,NA,NA,NA,NA
WV007,NA,Clay County Health Department,Clay,WV,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,10661,1,2008,1651935,"$1,000,000-$4,999,999",1625091,0,6000,6000,NA,729000,NA,0,554784,0,0,6141,0,10000,0,319170,"The health department serve as fiscal agent for Central WV WIC, FRN, CIS, and IAP.  The health department also worked the Medicaid Waiver and Right From the Start Program.",1,27169,7852,6627,1,2,local,0.58,WV,LHD,1,54015,NA,NA,NA,NA,NA,NA
AR011,module 2,Clay County Health Unit - Piggott,Piggott,AR,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,16970,1,2008,457988.4,NA,457988.4,NA,45844,NA,38719,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,state,7.5,AR,LHD,1,5021,NA,NA,NA,NA,NA,NA
MO022,NA,Clay County Public Health Center,Liberty,MO,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,108391,12,2007,6002936,"$5,000,000-$9,999,999",5982862,0,3824315,3824315,137223,818635,681412,0,185658,25210,162400,0,276966,139934,0,549744,Interest accts; Vital Records;,1,135077,51190,9736,1,4,local,4.92,MO,LHD,1,29047,Clay,County,29,2004,21.2,Duplicate Case
MN010,NA,Clay County Public Health Department,Moorhead,MN,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,56295,12,2007,3512433,"$1,000,000-$4,999,999",3789955,0,1205456,1205456,293866,990205,696339,0,1059560,32742,268238,7400,187220,32074,0,7060,"The 'other' includes donations, interest, and other Misc revenue",1,42773,27551,0,1,0.8,local,NA,MN,LHD,1,27027,NA,NA,NA,NA,NA,NA
IA025,NA,Clayton County Visiting Nurses Association,Elkader,IA,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,18931,12,2007,1140157,"$1,000,000-$4,999,999",1400273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29467,0,0,1,0.5,local,31.42,IA,LHD,1,19043,NA,NA,NA,NA,NA,NA
CO010,NA,Clear Creek County Public Health,Idaho Springs,CO,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,9400,8,2008,287802,"<$500,000",214911,1800,10546,8746,124297,191334,67037,0,6600,0,0,0,6431,0,0,0,NA,1,22986,28258,17568,1,0.15,local,NA,CO,LHD,1,8019,NA,NA,NA,NA,NA,NA
MN079,NA,Clearwater County Nursing Service,Bagley,MN,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,8600,1,2008,1641539,"$1,000,000-$4,999,999",1667663,0,29246,29246,161608,193855,32247,784334,116227,178761,0,195904,45094,0,0,98118,"Jail, School, Other Grants  Funding largely influenced by Medicare Certified Home Care & Hospice",1,18356,10684,0,1,0.22,local,5.58,MN,LHD,1,27029,NA,NA,NA,NA,NA,NA
AL015,module 1,Cleburne County Health Department,Heflin,AL,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,14527,1,2008,507814,"$500,000-$999,999",473001,0,0,0,172275,287528,115253,0,216171,0,0,0,21687,15180,0,-82599,Transfers to state health department,1,30012,17199,0,1,3,state,8.92,AL,LHD,1,1029,NA,NA,NA,NA,NA,NA
AR012,module 2,Cleburne County Health Unit,Heber Springs,AR,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,26068,12,2007,1295703.8,NA,1295703.8,NA,124302,NA,294424,0,NA,0,NA,NA,0,0,0,0,0,0,NA,4,NA,NA,NA,0,NA,state,3.83,AR,LHD,1,5023,NA,NA,NA,NA,NA,NA
CA053,module 3,Cleopathia Moore,Modesto,CA,esri 2007,500000+,500000+,"500,000-999,999","500,000-999,999","500,000-999,999",county,529038,6,2008,21904224,"$10,000,000+",23150980,0,5542577,5542577,3420542,16520457,13099915,0,147059,33913,278653,0,420459,162098,0,45765,NA,1,504391,240890,0,1,4.7,local,11.42,CA,LHD,1,6099,Stanislaus,County,6,2007,9.8,Duplicate Case
OH028,module 2,Clermont County Health District,Batavia,OH,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,195739,12,2007,3496751,"$1,000,000-$4,999,999",3362738,775540,953788,178248,111326,871989,760663,0,751,0,0,0,87854,1376935,0,71421,Vital statisitics fees,1,148575,83796,38336,1,2.25,local,3.33,OH,LHD,1,39025,NA,NA,NA,NA,NA,NA
NC018,module 3,Cleveland County Health Department,Shelby,NC,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","75,000-100,000",county,99965,6,2008,10635144,"$10,000,000+",11258089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABC Revenue $7,105          NSF Fees $100 Rutherford County Health Dept. $2,000 Fund Balance $1,484,238 (Medicaid/Fees/Grants Cleveland County Schools $473,682 NCPHA $548 Donations $1,545 Copy Fees $100",1,17500,0,0,1,1,local,22.33,NC,LHD,1,37045,NA,NA,NA,NA,NA,NA
OK014,module 2,Cleveland County Health Department,Norman,OK,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","200,000-499,999",county,236705,10,2008,7731086,"$10,000,000+",11192913.74,NA,4404577,NA,NA,4113264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,95878,28382,38637,1,1.5,state,4.92,OK,LHD,1,40027,Cleveland,County,40,2005,17.5,Duplicate Case
AR013,NA,Cleveland County Health Unit,Rison,AR,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",city/county,9132,6,2008,285033.6,NA,285033.6,NA,26382,NA,116872,0,NA,0,NA,NA,0,0,0,0,0,0,"We only have our county budget reports.  All state revenue and expenditures are handled through the AR Department of Health Central Office in Little Rock, AR.",1,0,0,0,0,NA,state,NA,AR,LHD,1,5025,NA,NA,NA,NA,NA,NA
GA032,NA,Clinch County Health Department,Homerville,GA,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",city/county,7016,6,2008,371382,"<$500,000",332179,0,62718,62718,154734,165756,11022,0,40243,8305,0,0,19056,0,0,36101,Contracts and Environmental Health Fees,1,0,5600,0,0,NA,local,23.92,GA,LHD,1,13065,NA,NA,NA,NA,NA,NA
IA026,module 3,Clinton County / Genesis Visiting Nurses Association & Hospice,Clinton,IA,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,49537,10,2008,521308,"$500,000-$999,999",472625,0,89189,89189,342436,342436,0,0,0,0,41000,0,0,0,0,0,NA,2,26000,10000,0,1,1,local,1.5,IA,LHD,1,19045,NA,NA,NA,NA,NA,NA
NY009,module 2,Clinton County Department of Public Health,Plattsburgh,NY,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","75,000-100,000",county,84129,12,2007,18512560,"$10,000,000+",18512560,0,3359868,3359868,5001387,5796594,795207,0,4890111,3281001,0,676086,508899,0,0,0,NA,1,82938,10078,0,1,1.5,local,8.17,NY,LHD,1,36019,NA,NA,NA,NA,NA,NA
IL087,module 2,Clinton County Health Department,Carlyle,IL,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,37510,11,2007,606000,"$500,000-$999,999",622000,0,128500,128500,244200,350700,106500,0,53600,0,0,0,54000,16500,0,0,NA,3,27821,23631,7179,1,5.5,local,11.67,IL,LHD,1,17027,NA,NA,NA,NA,NA,NA
IN012,module 1,Clinton County Health Department,Frankfort,IN,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,33996,12,2007,263386.34,"<$500,000",149430.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45000,0,0,0,0,local,NA,IN,LHD,1,18023,NA,NA,NA,NA,NA,NA
MO023,NA,Clinton County Health Department,Plattsburg,MO,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,21263,12,2007,337700,"<$500,000",606518,0,200077,200077,93909,247420,153511,0,25626,2709,0,0,0,0,0,130685,"Interest earned, Vital Record Fees, Donations, reimbursement for goods or services",2,20223,19940,5810,1,0.5,local,9.92,MO,LHD,1,29049,NA,NA,NA,NA,NA,NA
KS010,module 2,Cloud County Health Department,Concordia,KS,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,9785,12,2007,630438.19,"$500,000-$999,999",609704.63,0,96139,96139,225794,225794,0,0,37507,90744,0,64909,81462,0,0,13151,Other = rent received,3,16803,7872,0,1,0.3,local,2.75,KS,LHD,1,20029,NA,NA,NA,NA,NA,NA
OK015,module 2,Coal County Health Department,Coalgate,OK,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,5953,7,2007,438526.53,NA,571832.36,NA,192824,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,state,12.92,OK,LHD,1,40029,NA,NA,NA,NA,NA,NA
GA034,module non-respondent,Cobb County Board of Health,Marietta,GA,esri 2007,500000+,500000+,"500,000-999,999","500,000-999,999","500,000-999,999","multi-county, district, region",693135,6,2008,24088086,"$10,000,000+",24095754,0,1329832,1329832,6690005,12343246,5653241,176130,1134856,37803,156437,149,1604416,0,0,7312885,"Environmental Fees $972,947 Inter Agency Fees $2,294,551 Bank & Investment Interest $151,014 Vital Records Fees $433,033 Contracts Revenue $3,253,246 Other Revenue $208,094",2,385101,123769,91018,1,3.9,local,0.67,GA,LHD,1,13067,Cobb,County,13,2007,10.2,Duplicate Case
AZ002,module 3,Cochise County Health Department,Bisbee,AZ,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,132044,6,2008,5000000,"$5,000,000-$9,999,999",5000000,0,2500000,2500000,1425000,2500000,1075000,0,0,0,0,0,0,0,0,0,NA,1,400000,100000,0,1,5,local,2.25,AZ,LHD,1,4003,Cochise,County,4,2002,15.4,Duplicate Case
TN016,module 2,Cocke County Health Department,Newport,TN,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,35508,6,2008,898818,"$500,000-$999,999",898818,0,94634,94634,99608,272189,172581,0,174835,2682,0,616,26862,0,0,327000,"Interdepartment revenues are revenues from other departments for services provided in Tennessee, the Medicaid program is call TennCare.",1,0,0,0,0,NA,state,1.83,TN,SUB027,1,47029,NA,NA,NA,NA,NA,NA
AZ003,NA,Coconino County Health Department,Flagstaff,AZ,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","100,000-199,999",county,128439,6,2008,15106694,"$10,000,000+",15106694,0,7729946,7729946,909147,4914816,4005669,0,51470,27240,259050,58807,323225,1677650,15770,48720,"Aerobic Winter Challenge, Children Are Precious Passengers Program, Healthy Coconino,",2,356907,41950,0,1,5.38,local,10.83,AZ,LHD,1,4005,Coconino,County,4,2008,8.5,Duplicate Case
AL016,NA,Coffee County Health Department,Enterprise,AL,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,47224,9,2007,3491942,"$1,000,000-$4,999,999",3741390,0,31576,31576,168695,470246,301551,0,2413462,704807,0,0,121259,40,0,0,NA,1,40726,17482,0,1,0.63,state,1.92,AL,LHD,1,1031,NA,NA,NA,NA,NA,NA
GA035,module 3,Coffee County Health Department,Douglas,GA,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",city/county,40809,6,2008,1626994,"$1,000,000-$4,999,999",1627171,0,95000,95000,559375,634213,74838,0,85559,68243,0,0,154671,0,0,589485,"Contracts, Vital Records, Environmental Health Fees",1,0,8500,0,0,NA,local,30.25,GA,LHD,1,13069,NA,NA,NA,NA,NA,NA
TN017,module 3,Coffee County Health Department,Manchester,TN,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,52028,6,2006,1210650,"$1,000,000-$4,999,999",1210650,0,95752,95752,646974,912566,265592,0,132701,11729,0,1677,54720,0,0,1505,Other revenues represented collections from community business and industry for medical services provided to their employees for job related purposes.,1,0,0,0,0,NA,state,11.17,TN,SUB107,1,47031,NA,NA,NA,NA,NA,NA
KS011,module 1,Coffey County Health Department,Burlington,KS,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,8968,12,2007,352326,"<$500,000",378574,0,200000,200000,64062,64062,0,0,12516,3840,0,45101,37456,0,0,15599,"Contractural, local funding, Area Agency on Aging, School Nurse fees to area schools in county, cardio health survey.",3,15834,7472,0,1,0.37,local,1.83,KS,LHD,1,20031,NA,NA,NA,NA,NA,NA
AL017,module 3,Colbert County Health Department,Sheffield,AL,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",city/county,55070,9,2007,4510332,"$1,000,000-$4,999,999",5495404,6000,168736,162736,153675,1024021,870346,0,3177914,916403,0,23913,83388,47430,0,53599,Miscellaneous sources,1,33907,21961,0,1,0.05,state,12.5,AL,LHD,1,1033,NA,NA,NA,NA,NA,NA
MO024,module 2,Cole County Health Department,Jefferson City,MO,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,74498,1,2008,1533860,"$1,000,000-$4,999,999",1533860,0,582192,582192,205352,810475,605123,0,44750,2713,4231,0,81599,7900,0,0,NA,2,60347,29999,0,1,1,local,2.67,MO,LHD,1,29051,NA,NA,NA,NA,NA,NA
IL012,NA,Coles County Health Department,Charleston,IL,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,51742,11,2007,1440891,"$1,000,000-$4,999,999",1458787,0,191500,191500,517700,729000,211300,0,75000,50000,0,0,60000,353287,0,0,NA,NA,49356,31508,0,1,1.34,local,NA,IL,LHD,1,17029,NA,NA,NA,NA,NA,NA
FL012,module 1,Collier County Health Department,Naples,FL,esri 2007,50000-499999,100000-499999,"250,000-499,999","250,000-499,999","200,000-499,999",county,337239,6,2008,14997009,"$10,000,000+",15335064,0,1481000,1481000,4957533,8154288,3196755,0,1406258,644940,1417038,501394,268696,1461450,0,0,NA,1,0,0,0,0,NA,state,8.83,FL,LHD,1,12021,Collier,County,12,2004,8,Duplicate Case
